source_file,source_question_id,exam,subject,topic,subtopic,difficulty,language,question,question_hi,english_question,option_a,option_b,option_c,option_d,correct_answer,explanation,status,tags,import_key
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3201,IBPS RRB Prelims,Simple Interest,Simple Interest,,Moderate,Hindi,₹2500 पर 12% वार्षिक दर से 5 वर्ष का साधारण ब्याज कितना है?,₹2500 पर 12% वार्षिक दर से 5 वर्ष का साधारण ब्याज कितना है?,,1500,1600,1400,300,A,SI=P×R×T/100=2500×12×5/100=₹1500।,pending_review,,11f5d554f3361ad1
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3202,IBPS RRB Prelims,Simple Interest,Simple Interest,,Moderate,Hindi,₹5000 पर 5% वार्षिक दर से 2 वर्ष का साधारण ब्याज कितना है?,₹5000 पर 5% वार्षिक दर से 2 वर्ष का साधारण ब्याज कितना है?,,500,600,400,250,A,SI=P×R×T/100=5000×5×2/100=₹500।,pending_review,,a4644fa2720788ce
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3203,IBPS RRB Prelims,Simple Interest,Simple Interest,,Moderate,Hindi,₹1000 पर 10% वार्षिक दर से 5 वर्ष का साधारण ब्याज कितना है?,₹1000 पर 10% वार्षिक दर से 5 वर्ष का साधारण ब्याज कितना है?,,500,600,400,100,A,SI=P×R×T/100=1000×10×5/100=₹500।,pending_review,,f9005c903dcdfb82
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3204,IBPS RRB Prelims,Simple Interest,Simple Interest,,Moderate,Hindi,₹5000 पर 8% वार्षिक दर से 4 वर्ष का साधारण ब्याज कितना है?,₹5000 पर 8% वार्षिक दर से 4 वर्ष का साधारण ब्याज कितना है?,,1600,1700,1500,400,A,SI=P×R×T/100=5000×8×4/100=₹1600।,pending_review,,ec7fdf179a2514d7
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3205,IBPS RRB Prelims,Simple Interest,Simple Interest,,Moderate,Hindi,₹3000 पर 12% वार्षिक दर से 4 वर्ष का साधारण ब्याज कितना है?,₹3000 पर 12% वार्षिक दर से 4 वर्ष का साधारण ब्याज कितना है?,,1440,1540,1340,360,A,SI=P×R×T/100=3000×12×4/100=₹1440।,pending_review,,938b07b322d89514
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3206,IBPS RRB Prelims,Simple Interest,Simple Interest,,Moderate,Hindi,₹1000 पर 8% वार्षिक दर से 2 वर्ष का साधारण ब्याज कितना है?,₹1000 पर 8% वार्षिक दर से 2 वर्ष का साधारण ब्याज कितना है?,,160,260,60,80,A,SI=P×R×T/100=1000×8×2/100=₹160।,pending_review,,be32d7049ccf19d5
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3208,IBPS RRB Prelims,Simple Interest,Simple Interest,,Moderate,Hindi,₹3000 पर 5% वार्षिक दर से 5 वर्ष का साधारण ब्याज कितना है?,₹3000 पर 5% वार्षिक दर से 5 वर्ष का साधारण ब्याज कितना है?,,750,850,650,150,A,SI=P×R×T/100=3000×5×5/100=₹750।,pending_review,,e23803bc0be9f658
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3209,IBPS RRB Prelims,Simple Interest,Simple Interest,,Moderate,Hindi,₹2000 पर 12% वार्षिक दर से 4 वर्ष का साधारण ब्याज कितना है?,₹2000 पर 12% वार्षिक दर से 4 वर्ष का साधारण ब्याज कितना है?,,960,1060,860,240,A,SI=P×R×T/100=2000×12×4/100=₹960।,pending_review,,a4b82dc7c89731b2
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3210,IBPS RRB Prelims,Simple Interest,Simple Interest,,Moderate,Hindi,₹1500 पर 8% वार्षिक दर से 4 वर्ष का साधारण ब्याज कितना है?,₹1500 पर 8% वार्षिक दर से 4 वर्ष का साधारण ब्याज कितना है?,,480,580,380,120,A,SI=P×R×T/100=1500×8×4/100=₹480।,pending_review,,d8f523aee9768963
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3211,IBPS RRB Prelims,Simple Interest,Simple Interest,,Moderate,Hindi,₹2500 पर 5% वार्षिक दर से 5 वर्ष का साधारण ब्याज कितना है?,₹2500 पर 5% वार्षिक दर से 5 वर्ष का साधारण ब्याज कितना है?,,625,725,525,125,A,SI=P×R×T/100=2500×5×5/100=₹625।,pending_review,,10a6083619cf3e48
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3212,IBPS RRB Prelims,Simple Interest,Simple Interest,,Moderate,Hindi,₹2500 पर 8% वार्षिक दर से 4 वर्ष का साधारण ब्याज कितना है?,₹2500 पर 8% वार्षिक दर से 4 वर्ष का साधारण ब्याज कितना है?,,800,900,700,200,A,SI=P×R×T/100=2500×8×4/100=₹800।,pending_review,,357bd3c94acaf211
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3213,IBPS RRB Prelims,Simple Interest,Simple Interest,,Moderate,Hindi,₹3000 पर 8% वार्षिक दर से 3 वर्ष का साधारण ब्याज कितना है?,₹3000 पर 8% वार्षिक दर से 3 वर्ष का साधारण ब्याज कितना है?,,720,820,620,240,A,SI=P×R×T/100=3000×8×3/100=₹720।,pending_review,,0e0b88158e4db1fe
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3214,IBPS RRB Prelims,Simple Interest,Simple Interest,,Moderate,Hindi,₹1500 पर 10% वार्षिक दर से 4 वर्ष का साधारण ब्याज कितना है?,₹1500 पर 10% वार्षिक दर से 4 वर्ष का साधारण ब्याज कितना है?,,600,700,500,150,A,SI=P×R×T/100=1500×10×4/100=₹600।,pending_review,,5491b13a069e2a8d
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3215,IBPS RRB Prelims,Simple Interest,Simple Interest,,Moderate,Hindi,₹1000 पर 5% वार्षिक दर से 3 वर्ष का साधारण ब्याज कितना है?,₹1000 पर 5% वार्षिक दर से 3 वर्ष का साधारण ब्याज कितना है?,,150,250,50,50,A,SI=P×R×T/100=1000×5×3/100=₹150।,pending_review,,cc0468851a03c839
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3216,IBPS RRB Prelims,Simple Interest,Simple Interest,,Moderate,Hindi,₹5000 पर 5% वार्षिक दर से 5 वर्ष का साधारण ब्याज कितना है?,₹5000 पर 5% वार्षिक दर से 5 वर्ष का साधारण ब्याज कितना है?,,1250,1350,1150,250,A,SI=P×R×T/100=5000×5×5/100=₹1250।,pending_review,,1a70d1d38e5f3b18
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3217,IBPS RRB Prelims,Simple Interest,Simple Interest,,Moderate,Hindi,₹2000 पर 12% वार्षिक दर से 5 वर्ष का साधारण ब्याज कितना है?,₹2000 पर 12% वार्षिक दर से 5 वर्ष का साधारण ब्याज कितना है?,,1200,1300,1100,240,A,SI=P×R×T/100=2000×12×5/100=₹1200।,pending_review,,8e857abb7f95e56f
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3218,IBPS RRB Prelims,Simple Interest,Simple Interest,,Moderate,Hindi,₹2000 पर 8% वार्षिक दर से 4 वर्ष का साधारण ब्याज कितना है?,₹2000 पर 8% वार्षिक दर से 4 वर्ष का साधारण ब्याज कितना है?,,640,740,540,160,A,SI=P×R×T/100=2000×8×4/100=₹640।,pending_review,,45722ccf9fc58f6c
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3220,IBPS RRB Prelims,Simple Interest,Simple Interest,,Moderate,Hindi,₹2000 पर 10% वार्षिक दर से 3 वर्ष का साधारण ब्याज कितना है?,₹2000 पर 10% वार्षिक दर से 3 वर्ष का साधारण ब्याज कितना है?,,600,700,500,200,A,SI=P×R×T/100=2000×10×3/100=₹600।,pending_review,,86434dd7f251a836
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3222,IBPS RRB Prelims,Simple Interest,Simple Interest,,Moderate,Hindi,₹3000 पर 8% वार्षिक दर से 2 वर्ष का साधारण ब्याज कितना है?,₹3000 पर 8% वार्षिक दर से 2 वर्ष का साधारण ब्याज कितना है?,,480,580,380,240,A,SI=P×R×T/100=3000×8×2/100=₹480।,pending_review,,a6d2d7b27edb042b
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3223,IBPS RRB Prelims,Simple Interest,Simple Interest,,Moderate,Hindi,₹3000 पर 5% वार्षिक दर से 4 वर्ष का साधारण ब्याज कितना है?,₹3000 पर 5% वार्षिक दर से 4 वर्ष का साधारण ब्याज कितना है?,,600,700,500,150,A,SI=P×R×T/100=3000×5×4/100=₹600।,pending_review,,237e1b8b0a677c0f
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3224,IBPS RRB Prelims,Simple Interest,Simple Interest,,Moderate,Hindi,₹2500 पर 12% वार्षिक दर से 3 वर्ष का साधारण ब्याज कितना है?,₹2500 पर 12% वार्षिक दर से 3 वर्ष का साधारण ब्याज कितना है?,,900,1000,800,300,A,SI=P×R×T/100=2500×12×3/100=₹900।,pending_review,,c23ab72fbd350bdc
