source_file,source_question_id,exam,subject,topic,subtopic,difficulty,language,question,question_hi,english_question,option_a,option_b,option_c,option_d,correct_answer,explanation,status,tags,import_key
IBPS_RRB_2000_MCQ_Hindi(1).txt,1,IBPS RRB Practice,Banking Awareness,Banking Awareness,,Moderate,Hindi,भारत में Regional Rural Banks (RRBs) की स्थापना किस वर्ष हुई?,भारत में Regional Rural Banks (RRBs) की स्थापना किस वर्ष हुई?,,1969,1975,1980,1991,B,RRBs की स्थापना 1975 में ग्रामीण क्षेत्रों में बैंकिंग और ऋण सुविधाएँ बढ़ाने के उद्देश्य से हुई थी।,pending_review,,de58c1ed39ed14ef
IBPS_RRB_2000_MCQ_Hindi(1).txt,2,IBPS RRB Practice,Banking Awareness,Banking Awareness,,Moderate,Hindi,RBI का मुख्यालय कहाँ है?,RBI का मुख्यालय कहाँ है?,,नई दिल्ली,मुंबई,कोलकाता,चेन्नई,B,भारतीय रिज़र्व बैंक का केंद्रीय कार्यालय मुंबई में है।,pending_review,,62967f3e55001825
IBPS_RRB_2000_MCQ_Hindi(1).txt,3,IBPS RRB Practice,Banking Awareness,Banking Awareness,,Moderate,Hindi,RBI की स्थापना किस वर्ष हुई थी?,RBI की स्थापना किस वर्ष हुई थी?,,1935,1947,1949,1950,A,RBI ने 1 अप्रैल 1935 को कार्य शुरू किया था।,pending_review,,cfe434f425836e7b
IBPS_RRB_2000_MCQ_Hindi(1).txt,4,IBPS RRB Practice,Banking Awareness,Banking Awareness,,Moderate,Hindi,भारत में बैंक नोट जारी करने का प्रमुख अधिकार किस संस्था के पास है?,भारत में बैंक नोट जारी करने का प्रमुख अधिकार किस संस्था के पास है?,,SBI,RBI,SEBI,NABARD,B,भारत में अधिकांश बैंक नोट RBI जारी करता है; ₹1 का नोट भारत सरकार जारी करती है।,pending_review,,b990f7a73faf65eb
IBPS_RRB_2000_MCQ_Hindi(1).txt,5,IBPS RRB Practice,Banking Awareness,Banking Awareness,,Moderate,Hindi,NABARD का पूरा नाम क्या है?,NABARD का पूरा नाम क्या है?,,National Bank for Agriculture and Rural Development,National Banking and Rural Development,National Board for Agriculture and Rural Debt,New Bank for Agriculture and Rural Development,A,NABARD कृषि और ग्रामीण विकास के वित्तीय एवं विकासात्मक कार्यों की प्रमुख संस्था है।,pending_review,,bac6db6a21d178cd
IBPS_RRB_2000_MCQ_Hindi(1).txt,6,IBPS RRB Practice,Banking Awareness,Banking Awareness,,Moderate,Hindi,KYC का पूरा नाम क्या है?,KYC का पूरा नाम क्या है?,,Keep Your Cash,Know Your Customer,Know Your Credit,Keep Your Customer,B,KYC ग्राहक की पहचान और पते आदि की पुष्टि की प्रक्रिया है।,pending_review,,9dfc40f18e93bb20
IBPS_RRB_2000_MCQ_Hindi(1).txt,7,IBPS RRB Practice,Computer Knowledge,Computer Knowledge,,Moderate,Hindi,CPU का पूरा नाम क्या है?,CPU का पूरा नाम क्या है?,,Central Processing Unit,Central Program Unit,Computer Processing Unit,Control Processing Unit,A,CPU कंप्यूटर में निर्देशों को संसाधित करने वाली मुख्य इकाई है।,pending_review,,ddaa6fcf864d3e40
IBPS_RRB_2000_MCQ_Hindi(1).txt,8,IBPS RRB Practice,Computer Knowledge,Computer Knowledge,,Moderate,Hindi,RAM किस प्रकार की मेमोरी है?,RAM किस प्रकार की मेमोरी है?,,स्थायी,अस्थायी/Volatile,केवल Read-only,बाहरी,B,RAM में डेटा बिजली बंद होने पर सामान्यतः सुरक्षित नहीं रहता।,pending_review,,edb662aa846dbe89
IBPS_RRB_2000_MCQ_Hindi(1).txt,9,IBPS RRB Practice,General Awareness & Static GK,General Awareness & Static GK,,Moderate,Hindi,भारत का राष्ट्रीय पशु कौन है?,भारत का राष्ट्रीय पशु कौन है?,,सिंह,बाघ,हाथी,मोर,B,रॉयल बंगाल टाइगर भारत का राष्ट्रीय पशु है।,pending_review,,939679148bd92641
IBPS_RRB_2000_MCQ_Hindi(1).txt,10,IBPS RRB Practice,General Awareness & Static GK,General Awareness & Static GK,,Moderate,Hindi,भारत का संविधान कब लागू हुआ?,भारत का संविधान कब लागू हुआ?,,15 अगस्त 1947,26 नवंबर 1949,26 जनवरी 1950,2 अक्टूबर 1950,C,संविधान 26 नवंबर 1949 को अपनाया गया और 26 जनवरी 1950 को लागू हुआ।,pending_review,,1c09e792141e212d
IBPS_RRB_2000_MCQ_Hindi(1).txt,11,IBPS RRB Practice,Quantitative Aptitude,Quantitative Aptitude,,Moderate,Hindi,25% of 320 कितना है?,25% of 320 कितना है?,,60,70,80,90,C,25% = 1/4; इसलिए 320 ÷ 4 = 80।,pending_review,,3faceb91b5ca7a61
IBPS_RRB_2000_MCQ_Hindi(1).txt,12,IBPS RRB Practice,Quantitative Aptitude,Quantitative Aptitude,,Moderate,Hindi,"यदि 5 वस्तुओं की कीमत ₹500 है, तो 1 वस्तु की कीमत कितनी होगी?","यदि 5 वस्तुओं की कीमत ₹500 है, तो 1 वस्तु की कीमत कितनी होगी?",,₹50,₹75,₹100,₹125,C,₹500 ÷ 5 = ₹100।,pending_review,,8322044b2881e97d
IBPS_RRB_2000_MCQ_Hindi(1).txt,13,IBPS RRB Practice,Reasoning,Reasoning,,Moderate,Hindi,"श्रृंखला: 2, 6, 12, 20, 30, ?","श्रृंखला: 2, 6, 12, 20, 30, ?",,40,42,44,46,B,"अंतर 4, 6, 8, 10 है; अगला अंतर 12 होगा, इसलिए 30 + 12 = 42।",pending_review,,00ef8c777368f9ff
IBPS_RRB_2000_MCQ_Hindi(1).txt,14,IBPS RRB Practice,Reasoning,Reasoning,,Moderate,Hindi,"यदि CAT को DBU लिखा जाए, तो DOG को क्या लिखा जाएगा?","यदि CAT को DBU लिखा जाए, तो DOG को क्या लिखा जाएगा?",,EPH,EOG,FPH,DPH,A,हर अक्षर को वर्णमाला में एक स्थान आगे किया गया है।,pending_review,,c11bae9c1c61dbdf
IBPS_RRB_2000_MCQ_Hindi(1).txt,15,IBPS RRB Practice,Reasoning — प्रतिशत आधारित,Reasoning — प्रतिशत आधारित,,Moderate,Hindi,"यदि सभी A, B हैं और सभी B, C हैं, तो निष्कर्ष क्या होगा?","यदि सभी A, B हैं और सभी B, C हैं, तो निष्कर्ष क्या होगा?",,"सभी A, C हैं","कोई A, C नहीं","सभी C, A हैं",निश्चित नहीं,A,A ⊂ B और B ⊂ C होने पर A ⊂ C होता है।,pending_review,,cb4cdf582228f640
IBPS_RRB_2000_MCQ_Hindi(1).txt,16,IBPS RRB Practice,Quantitative Aptitude — सरल ब्याज,Quantitative Aptitude — सरल ब्याज,,Moderate,Hindi,₹2000 पर 10% वार्षिक दर से 2 वर्ष का सरल ब्याज कितना होगा?,₹2000 पर 10% वार्षिक दर से 2 वर्ष का सरल ब्याज कितना होगा?,,"सभी A, C हैं","कोई A, C नहीं","सभी C, A हैं",निश्चित नहीं,B,SI = P×R×T/100 = 2000×10×2/100 = ₹400।,pending_review,,6d988f6df459648e
IBPS_RRB_2000_MCQ_Hindi(1).txt,17,IBPS RRB Practice,Banking Awareness — श्रृंखला,Banking Awareness — श्रृंखला,,Moderate,Hindi,बैंकिंग में 'KYC' का उद्देश्य मुख्यतः क्या है?,बैंकिंग में 'KYC' का उद्देश्य मुख्यतः क्या है?,,ग्राहक की पहचान सत्यापित करना,ब्याज दर बढ़ाना,ATM बंद करना,चेकबुक छापना,A,KYC का मुख्य उद्देश्य ग्राहक की पहचान और संबंधित जानकारी की पुष्टि करना है।,pending_review,,b12f7e76b0dafd8b
IBPS_RRB_2000_MCQ_Hindi(1).txt,18,IBPS RRB Practice,General Awareness & Static GK — औसत,General Awareness & Static GK — औसत,,Moderate,Hindi,भारत की राजधानी क्या है?,भारत की राजधानी क्या है?,,मुंबई,नई दिल्ली,जयपुर,भोपाल,B,भारत की राजधानी नई दिल्ली है।,pending_review,,f8334fcc313b23d0
IBPS_RRB_2000_MCQ_Hindi(1).txt,19,IBPS RRB Practice,Computer Knowledge — प्रतिशत आधारित,Computer Knowledge — प्रतिशत आधारित,,Moderate,Hindi,कंप्यूटर में डेटा का स्थायी भंडारण सामान्यतः किसमें किया जाता है?,कंप्यूटर में डेटा का स्थायी भंडारण सामान्यतः किसमें किया जाता है?,,RAM,Cache,Storage/SSD/HDD,Register,C,SSD/HDD जैसे storage माध्यम डेटा को बिजली बंद होने के बाद भी सुरक्षित रख सकते हैं।,pending_review,,6a6f3c80ae3ab95d
IBPS_RRB_2000_MCQ_Hindi(1).txt,20,IBPS RRB Practice,Current Affairs Practice — सरल ब्याज,Current Affairs Practice — सरल ब्याज,,Moderate,Hindi,करंट अफेयर्स के प्रश्नों की तैयारी के लिए सबसे महत्वपूर्ण अभ्यास क्या है?,करंट अफेयर्स के प्रश्नों की तैयारी के लिए सबसे महत्वपूर्ण अभ्यास क्या है?,,केवल पुराने प्रश्न पढ़ना,परीक्षा से पहले नवीनतम राष्ट्रीय/अंतरराष्ट्रीय घटनाओं की समीक्षा,केवल गणित पढ़ना,केवल कंप्यूटर पढ़ना,B,"करंट अफेयर्स बदलते रहते हैं, इसलिए परीक्षा से पहले नवीनतम घटनाओं की समीक्षा जरूरी है।",pending_review,,638928fff90e6183
