source_file,source_question_id,exam,subject,topic,subtopic,difficulty,language,question,question_hi,english_question,option_a,option_b,option_c,option_d,correct_answer,explanation,status,tags,import_key
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1301,IBPS RRB Prelims,Number Series,Number Series,,Moderate,Hindi,"श्रृंखला पूरी करें: 28, 31, 34, 37, 40, ?","श्रृंखला पूरी करें: 28, 31, 34, 37, 40, ?",,43,46,40,49,A,हर बार 3 जोड़ा गया है; अगला पद 43 है।,pending_review,,a7891812df8fc7f5
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1302,IBPS RRB Prelims,Number Series,Number Series,,Moderate,Hindi,"श्रृंखला पूरी करें: 30, 36, 42, 48, 54, ?","श्रृंखला पूरी करें: 30, 36, 42, 48, 54, ?",,60,66,54,72,A,हर बार 6 जोड़ा गया है; अगला पद 60 है।,pending_review,,e3e2e6e619251b93
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1303,IBPS RRB Prelims,Number Series,Number Series,,Moderate,Hindi,"श्रृंखला पूरी करें: 4, 9, 14, 19, 24, ?","श्रृंखला पूरी करें: 4, 9, 14, 19, 24, ?",,29,34,24,39,A,हर बार 5 जोड़ा गया है; अगला पद 29 है।,pending_review,,5e91e9500ef0bc67
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1304,IBPS RRB Prelims,Number Series,Number Series,,Moderate,Hindi,"श्रृंखला पूरी करें: 30, 32, 34, 36, 38, ?","श्रृंखला पूरी करें: 30, 32, 34, 36, 38, ?",,40,42,38,44,A,हर बार 2 जोड़ा गया है; अगला पद 40 है।,pending_review,,172a379dff2822d3
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1305,IBPS RRB Prelims,Number Series,Number Series,,Moderate,Hindi,"श्रृंखला पूरी करें: 28, 30, 32, 34, 36, ?","श्रृंखला पूरी करें: 28, 30, 32, 34, 36, ?",,38,40,36,42,A,हर बार 2 जोड़ा गया है; अगला पद 38 है।,pending_review,,e4d9e0d3827df0e5
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1307,IBPS RRB Prelims,Number Series,Number Series,,Moderate,Hindi,"श्रृंखला पूरी करें: 20, 27, 34, 41, 48, ?","श्रृंखला पूरी करें: 20, 27, 34, 41, 48, ?",,55,62,48,69,A,हर बार 7 जोड़ा गया है; अगला पद 55 है।,pending_review,,e7105ade9398abc0
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1308,IBPS RRB Prelims,Number Series,Number Series,,Moderate,Hindi,"श्रृंखला पूरी करें: 24, 29, 34, 39, 44, ?","श्रृंखला पूरी करें: 24, 29, 34, 39, 44, ?",,49,54,44,59,A,हर बार 5 जोड़ा गया है; अगला पद 49 है।,pending_review,,33b4c2134a49d772
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1309,IBPS RRB Prelims,Number Series,Number Series,,Moderate,Hindi,"श्रृंखला पूरी करें: 29, 35, 41, 47, 53, ?","श्रृंखला पूरी करें: 29, 35, 41, 47, 53, ?",,59,65,53,71,A,हर बार 6 जोड़ा गया है; अगला पद 59 है।,pending_review,,98e7608936212b0c
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1310,IBPS RRB Prelims,Number Series,Number Series,,Moderate,Hindi,"श्रृंखला पूरी करें: 14, 18, 22, 26, 30, ?","श्रृंखला पूरी करें: 14, 18, 22, 26, 30, ?",,34,38,30,42,A,हर बार 4 जोड़ा गया है; अगला पद 34 है।,pending_review,,e0edf4c4f81e53e0
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1311,IBPS RRB Prelims,Number Series,Number Series,,Moderate,Hindi,"श्रृंखला पूरी करें: 6, 11, 16, 21, 26, ?","श्रृंखला पूरी करें: 6, 11, 16, 21, 26, ?",,31,36,26,41,A,हर बार 5 जोड़ा गया है; अगला पद 31 है।,pending_review,,8558ac4b40df10df
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1312,IBPS RRB Prelims,Number Series,Number Series,,Moderate,Hindi,"श्रृंखला पूरी करें: 8, 16, 24, 32, 40, ?","श्रृंखला पूरी करें: 8, 16, 24, 32, 40, ?",,48,56,40,64,A,हर बार 8 जोड़ा गया है; अगला पद 48 है।,pending_review,,97739cf861bdf60a
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1313,IBPS RRB Prelims,Number Series,Number Series,,Moderate,Hindi,"श्रृंखला पूरी करें: 2, 6, 10, 14, 18, ?","श्रृंखला पूरी करें: 2, 6, 10, 14, 18, ?",,22,26,18,30,A,हर बार 4 जोड़ा गया है; अगला पद 22 है।,pending_review,,c62e8be876bd3f67
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1315,IBPS RRB Prelims,Number Series,Number Series,,Moderate,Hindi,"श्रृंखला पूरी करें: 26, 33, 40, 47, 54, ?","श्रृंखला पूरी करें: 26, 33, 40, 47, 54, ?",,61,68,54,75,A,हर बार 7 जोड़ा गया है; अगला पद 61 है।,pending_review,,6e5bcf243806f495
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1316,IBPS RRB Prelims,Number Series,Number Series,,Moderate,Hindi,"श्रृंखला पूरी करें: 25, 29, 33, 37, 41, ?","श्रृंखला पूरी करें: 25, 29, 33, 37, 41, ?",,45,49,41,53,A,हर बार 4 जोड़ा गया है; अगला पद 45 है।,pending_review,,741170b279f56d5a
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1317,IBPS RRB Prelims,Number Series,Number Series,,Moderate,Hindi,"श्रृंखला पूरी करें: 17, 22, 27, 32, 37, ?","श्रृंखला पूरी करें: 17, 22, 27, 32, 37, ?",,42,47,37,52,A,हर बार 5 जोड़ा गया है; अगला पद 42 है।,pending_review,,656ac1b92a30a7d6
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1318,IBPS RRB Prelims,Number Series,Number Series,,Moderate,Hindi,"श्रृंखला पूरी करें: 3, 9, 15, 21, 27, ?","श्रृंखला पूरी करें: 3, 9, 15, 21, 27, ?",,33,39,27,45,A,हर बार 6 जोड़ा गया है; अगला पद 33 है।,pending_review,,cdbd79f17edb8ac5
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1320,IBPS RRB Prelims,Number Series,Number Series,,Moderate,Hindi,"श्रृंखला पूरी करें: 15, 17, 19, 21, 23, ?","श्रृंखला पूरी करें: 15, 17, 19, 21, 23, ?",,25,27,23,29,A,हर बार 2 जोड़ा गया है; अगला पद 25 है।,pending_review,,b749e9ffc6e9bfff
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1321,IBPS RRB Prelims,Number Series,Number Series,,Moderate,Hindi,"श्रृंखला पूरी करें: 8, 13, 18, 23, 28, ?","श्रृंखला पूरी करें: 8, 13, 18, 23, 28, ?",,33,38,28,43,A,हर बार 5 जोड़ा गया है; अगला पद 33 है।,pending_review,,f441460f1f97a666
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1322,IBPS RRB Prelims,Number Series,Number Series,,Moderate,Hindi,"श्रृंखला पूरी करें: 2, 11, 20, 29, 38, ?","श्रृंखला पूरी करें: 2, 11, 20, 29, 38, ?",,47,56,38,65,A,हर बार 9 जोड़ा गया है; अगला पद 47 है।,pending_review,,dda55d9a795e5970
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1323,IBPS RRB Prelims,Number Series,Number Series,,Moderate,Hindi,"श्रृंखला पूरी करें: 23, 29, 35, 41, 47, ?","श्रृंखला पूरी करें: 23, 29, 35, 41, 47, ?",,53,59,47,65,A,हर बार 6 जोड़ा गया है; अगला पद 53 है।,pending_review,,5f7c9804a64fc847
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1324,IBPS RRB Prelims,Number Series,Number Series,,Moderate,Hindi,"श्रृंखला पूरी करें: 6, 8, 10, 12, 14, ?","श्रृंखला पूरी करें: 6, 8, 10, 12, 14, ?",,16,18,14,20,A,हर बार 2 जोड़ा गया है; अगला पद 16 है।,pending_review,,0d1d636c16db68c7
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1325,IBPS RRB Prelims,Number Series,Number Series,,Moderate,Hindi,"श्रृंखला पूरी करें: 28, 37, 46, 55, 64, ?","श्रृंखला पूरी करें: 28, 37, 46, 55, 64, ?",,73,82,64,91,A,हर बार 9 जोड़ा गया है; अगला पद 73 है।,pending_review,,572d27808879540c
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1326,IBPS RRB Prelims,Number Series,Number Series,,Moderate,Hindi,"श्रृंखला पूरी करें: 8, 15, 22, 29, 36, ?","श्रृंखला पूरी करें: 8, 15, 22, 29, 36, ?",,43,50,36,57,A,हर बार 7 जोड़ा गया है; अगला पद 43 है।,pending_review,,f9dabfd1124f9c5d
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1327,IBPS RRB Prelims,Number Series,Number Series,,Moderate,Hindi,"श्रृंखला पूरी करें: 17, 24, 31, 38, 45, ?","श्रृंखला पूरी करें: 17, 24, 31, 38, 45, ?",,52,59,45,66,A,हर बार 7 जोड़ा गया है; अगला पद 52 है।,pending_review,,ce201f003e7f3507
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1328,IBPS RRB Prelims,Number Series,Number Series,,Moderate,Hindi,"श्रृंखला पूरी करें: 12, 19, 26, 33, 40, ?","श्रृंखला पूरी करें: 12, 19, 26, 33, 40, ?",,47,54,40,61,A,हर बार 7 जोड़ा गया है; अगला पद 47 है।,pending_review,,f46c95a08ee4d642
