source_file,source_question_id,exam,subject,topic,subtopic,difficulty,language,question,question_hi,english_question,option_a,option_b,option_c,option_d,correct_answer,explanation,status,tags,import_key
Exam_Master_Question_Bank_2000.txt,1,MP Sub Engineer / Technical,Electrical & Electronics,,,Moderate,English + Hindi,ओम के नियम के अनुसार धारा I का सूत्र क्या है?,ओम के नियम के अनुसार धारा I का सूत्र क्या है?,"According to Ohm's law, what is the formula for current I?",I=VR,I=V/R,I=R/V,I=V+R,B,"Ohm's law: V=IR, इसलिए I=V/R.",pending_review,technical,c1ffccb844c4cbdc
Exam_Master_Question_Bank_2000.txt,2,MP Sub Engineer / Technical,Electrical & Electronics,,,Moderate,English + Hindi,विद्युत प्रतिरोध की SI इकाई क्या है?,विद्युत प्रतिरोध की SI इकाई क्या है?,What is the SI unit of electrical resistance?,Volt,Ampere,Ohm,Watt,C,Resistance की SI unit Ohm (Ω) है.,pending_review,technical,f69362ebf572e5a1
Exam_Master_Question_Bank_2000.txt,3,MP Sub Engineer / Technical,Electrical & Electronics,,,Moderate,English + Hindi,विद्युत शक्ति का सामान्य DC सूत्र क्या है?,विद्युत शक्ति का सामान्य DC सूत्र क्या है?,What is the basic DC formula for electrical power?,P=VI,P=V/I,P=I/V,P=V+I,A,Electrical power P=VI.,pending_review,technical,cd155362d4f8154a
Exam_Master_Question_Bank_2000.txt,4,MP Sub Engineer / Technical,Electrical & Electronics,,,Moderate,English + Hindi,भारत में AC supply की सामान्य frequency कितनी है?,भारत में AC supply की सामान्य frequency कितनी है?,What is the standard AC supply frequency in India?,25 Hz,40 Hz,50 Hz,60 Hz,C,भारत की standard AC frequency 50 Hz है.,pending_review,technical,f51c096529c79f32
Exam_Master_Question_Bank_2000.txt,5,MP Sub Engineer / Technical,Electrical & Electronics,,,Moderate,English + Hindi,Ammeter को circuit में कैसे जोड़ा जाता है?,Ammeter को circuit में कैसे जोड़ा जाता है?,How is an ammeter connected in a circuit?,Parallel,Series,Open circuit,Across supply only,B,Ammeter को series में जोड़ा जाता है.,pending_review,technical,edcca47859c0866a
Exam_Master_Question_Bank_2000.txt,6,MP Sub Engineer / Technical,Electrical & Electronics,,,Moderate,English + Hindi,Voltmeter को circuit में कैसे जोड़ा जाता है?,Voltmeter को circuit में कैसे जोड़ा जाता है?,How is a voltmeter connected in a circuit?,Series,Parallel,Short circuit,In series with fuse,B,Voltage measure करने के लिए voltmeter parallel में लगाया जाता है.,pending_review,technical,a5c47fa2be36e5b7
Exam_Master_Question_Bank_2000.txt,7,MP Sub Engineer / Technical,Electrical & Electronics,,,Moderate,English + Hindi,Transformer किस principle पर काम करता है?,Transformer किस principle पर काम करता है?,On which principle does a transformer operate?,Electrolysis,Mutual induction,Photoelectric effect,Heating effect,B,Transformer mutual electromagnetic induction पर काम करता है.,pending_review,technical,66027d0603a46b37
Exam_Master_Question_Bank_2000.txt,8,MP Sub Engineer / Technical,Electrical & Electronics,,,Moderate,English + Hindi,Transformer frequency को बदलता है?,Transformer frequency को बदलता है?,Does a transformer change frequency?,"Yes, always","No, ideally unchanged",Only DC frequency,Doubles it,B,Transformer voltage/current बदलता है; supply frequency unchanged रहती है.,pending_review,technical,3983ad0c43c54f68
Exam_Master_Question_Bank_2000.txt,9,MP Sub Engineer / Technical,Electrical & Electronics,,,Moderate,English + Hindi,Power factor का ideal maximum value क्या है?,Power factor का ideal maximum value क्या है?,What is the ideal maximum value of power factor?,0,0.5,1,2,C,Ideal unity power factor = 1.,pending_review,technical,3a3e6c20958b8504
Exam_Master_Question_Bank_2000.txt,10,MP Sub Engineer / Technical,Electrical & Electronics,,,Moderate,English + Hindi,DC motor में back EMF का मुख्य प्रभाव क्या है?,DC motor में back EMF का मुख्य प्रभाव क्या है?,What is the main effect of back EMF in a DC motor?,Limits armature current,Increases frequency,Stops rotation,Converts AC to DC,A,Back EMF applied voltage का oppose करके armature current को limit करता है.,pending_review,technical,398d04a122f1f752
