source_file,source_question_id,exam,subject,topic,subtopic,difficulty,language,question,question_hi,english_question,option_a,option_b,option_c,option_d,correct_answer,explanation,status,tags,import_key
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1101,IBPS RRB Prelims,Ranking,Ranking,,Moderate,Hindi,32 विद्यार्थियों की पंक्ति में मोहन बाएँ से 28वें स्थान पर है। वह दाएँ से कौन-से स्थान पर होगा?,32 विद्यार्थियों की पंक्ति में मोहन बाएँ से 28वें स्थान पर है। वह दाएँ से कौन-से स्थान पर होगा?,,5,6,4,4,A,दाएँ से स्थान = कुल − बाएँ से स्थान + 1 = 32−28+1=5।,pending_review,,2d371ae35049989f
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1102,IBPS RRB Prelims,Ranking,Ranking,,Moderate,Hindi,10 विद्यार्थियों की पंक्ति में मोहन बाएँ से 9वें स्थान पर है। वह दाएँ से कौन-से स्थान पर होगा?,10 विद्यार्थियों की पंक्ति में मोहन बाएँ से 9वें स्थान पर है। वह दाएँ से कौन-से स्थान पर होगा?,,2,3,1,1,A,दाएँ से स्थान = कुल − बाएँ से स्थान + 1 = 10−9+1=2।,pending_review,,71dcd61ebe4c5322
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1103,IBPS RRB Prelims,Ranking,Ranking,,Moderate,Hindi,13 विद्यार्थियों की पंक्ति में मोहन बाएँ से 11वें स्थान पर है। वह दाएँ से कौन-से स्थान पर होगा?,13 विद्यार्थियों की पंक्ति में मोहन बाएँ से 11वें स्थान पर है। वह दाएँ से कौन-से स्थान पर होगा?,,3,4,2,2,A,दाएँ से स्थान = कुल − बाएँ से स्थान + 1 = 13−11+1=3।,pending_review,,f9e3605c6256a95e
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1104,IBPS RRB Prelims,Ranking,Ranking,,Moderate,Hindi,40 विद्यार्थियों की पंक्ति में मोहन बाएँ से 39वें स्थान पर है। वह दाएँ से कौन-से स्थान पर होगा?,40 विद्यार्थियों की पंक्ति में मोहन बाएँ से 39वें स्थान पर है। वह दाएँ से कौन-से स्थान पर होगा?,,2,3,1,1,A,दाएँ से स्थान = कुल − बाएँ से स्थान + 1 = 40−39+1=2।,pending_review,,4ffd5cd73bbbc2ff
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1105,IBPS RRB Prelims,Ranking,Ranking,,Moderate,Hindi,11 विद्यार्थियों की पंक्ति में मोहन बाएँ से 3वें स्थान पर है। वह दाएँ से कौन-से स्थान पर होगा?,11 विद्यार्थियों की पंक्ति में मोहन बाएँ से 3वें स्थान पर है। वह दाएँ से कौन-से स्थान पर होगा?,,9,10,8,8,A,दाएँ से स्थान = कुल − बाएँ से स्थान + 1 = 11−3+1=9।,pending_review,,2271df5733de3f87
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1106,IBPS RRB Prelims,Ranking,Ranking,,Moderate,Hindi,16 विद्यार्थियों की पंक्ति में मोहन बाएँ से 5वें स्थान पर है। वह दाएँ से कौन-से स्थान पर होगा?,16 विद्यार्थियों की पंक्ति में मोहन बाएँ से 5वें स्थान पर है। वह दाएँ से कौन-से स्थान पर होगा?,,12,13,11,11,A,दाएँ से स्थान = कुल − बाएँ से स्थान + 1 = 16−5+1=12।,pending_review,,7542603aa1ef91a8
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1107,IBPS RRB Prelims,Ranking,Ranking,,Moderate,Hindi,34 विद्यार्थियों की पंक्ति में मोहन बाएँ से 6वें स्थान पर है। वह दाएँ से कौन-से स्थान पर होगा?,34 विद्यार्थियों की पंक्ति में मोहन बाएँ से 6वें स्थान पर है। वह दाएँ से कौन-से स्थान पर होगा?,,29,30,28,28,A,दाएँ से स्थान = कुल − बाएँ से स्थान + 1 = 34−6+1=29।,pending_review,,dbd045d25ecd0e62
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1108,IBPS RRB Prelims,Ranking,Ranking,,Moderate,Hindi,12 विद्यार्थियों की पंक्ति में मोहन बाएँ से 4वें स्थान पर है। वह दाएँ से कौन-से स्थान पर होगा?,12 विद्यार्थियों की पंक्ति में मोहन बाएँ से 4वें स्थान पर है। वह दाएँ से कौन-से स्थान पर होगा?,,9,10,8,8,A,दाएँ से स्थान = कुल − बाएँ से स्थान + 1 = 12−4+1=9।,pending_review,,32794a10200e1b07
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1109,IBPS RRB Prelims,Ranking,Ranking,,Moderate,Hindi,31 विद्यार्थियों की पंक्ति में मोहन बाएँ से 11वें स्थान पर है। वह दाएँ से कौन-से स्थान पर होगा?,31 विद्यार्थियों की पंक्ति में मोहन बाएँ से 11वें स्थान पर है। वह दाएँ से कौन-से स्थान पर होगा?,,21,22,20,20,A,दाएँ से स्थान = कुल − बाएँ से स्थान + 1 = 31−11+1=21।,pending_review,,02849b200f726002
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1110,IBPS RRB Prelims,Ranking,Ranking,,Moderate,Hindi,22 विद्यार्थियों की पंक्ति में मोहन बाएँ से 21वें स्थान पर है। वह दाएँ से कौन-से स्थान पर होगा?,22 विद्यार्थियों की पंक्ति में मोहन बाएँ से 21वें स्थान पर है। वह दाएँ से कौन-से स्थान पर होगा?,,2,3,1,1,A,दाएँ से स्थान = कुल − बाएँ से स्थान + 1 = 22−21+1=2।,pending_review,,8811369e8f149831
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1111,IBPS RRB Prelims,Ranking,Ranking,,Moderate,Hindi,39 विद्यार्थियों की पंक्ति में मोहन बाएँ से 30वें स्थान पर है। वह दाएँ से कौन-से स्थान पर होगा?,39 विद्यार्थियों की पंक्ति में मोहन बाएँ से 30वें स्थान पर है। वह दाएँ से कौन-से स्थान पर होगा?,,10,11,9,9,A,दाएँ से स्थान = कुल − बाएँ से स्थान + 1 = 39−30+1=10।,pending_review,,ab6a6fee96383cb9
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1112,IBPS RRB Prelims,Ranking,Ranking,,Moderate,Hindi,36 विद्यार्थियों की पंक्ति में मोहन बाएँ से 36वें स्थान पर है। वह दाएँ से कौन-से स्थान पर होगा?,36 विद्यार्थियों की पंक्ति में मोहन बाएँ से 36वें स्थान पर है। वह दाएँ से कौन-से स्थान पर होगा?,,1,2,1,0,A,दाएँ से स्थान = कुल − बाएँ से स्थान + 1 = 36−36+1=1।,pending_review,,71f14eb21ebeffb1
