source_file,source_question_id,exam,subject,topic,subtopic,difficulty,language,question,question_hi,english_question,option_a,option_b,option_c,option_d,correct_answer,explanation,status,tags,import_key
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3901,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,100 का 25% कितना है?,100 का 25% कितना है?,,25,35,15,125,A,100×25/100=25।,pending_review,,033410ce044f4696
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3902,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,800 का 25% कितना है?,800 का 25% कितना है?,,200,210,190,1000,A,800×25/100=200।,pending_review,,882a4eef47f4f17f
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3903,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,300 का 10% कितना है?,300 का 10% कितना है?,,30,40,20,330,A,300×10/100=30।,pending_review,,f4f81b535af06d1a
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3904,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,200 का 50% कितना है?,200 का 50% कितना है?,,100,110,90,300,A,200×50/100=100।,pending_review,,fd3ebce31300b0ba
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3905,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,100 का 40% कितना है?,100 का 40% कितना है?,,40,50,30,140,A,100×40/100=40।,pending_review,,2bc835f3470d12d6
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3906,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,400 का 40% कितना है?,400 का 40% कितना है?,,160,170,150,560,A,400×40/100=160।,pending_review,,51d1f25988381050
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3908,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,400 का 15% कितना है?,400 का 15% कितना है?,,60,70,50,460,A,400×15/100=60।,pending_review,,aee9cfa1577bf4f6
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3910,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,400 का 50% कितना है?,400 का 50% कितना है?,,200,210,190,600,A,400×50/100=200।,pending_review,,28e5a4fd940cedd1
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3911,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,400 का 30% कितना है?,400 का 30% कितना है?,,120,130,110,520,A,400×30/100=120।,pending_review,,e2f868387beedd7b
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3912,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,200 का 15% कितना है?,200 का 15% कितना है?,,30,40,20,230,A,200×15/100=30।,pending_review,,9e6a5efffb73b7bc
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3913,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,800 का 15% कितना है?,800 का 15% कितना है?,,120,130,110,920,A,800×15/100=120।,pending_review,,80b32e68528b114f
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3914,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,300 का 25% कितना है?,300 का 25% कितना है?,,75,85,65,375,A,300×25/100=75।,pending_review,,89ab0e1ac2c026be
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3915,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,800 का 10% कितना है?,800 का 10% कितना है?,,80,90,70,880,A,800×10/100=80।,pending_review,,343f2059096d11bb
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3916,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,800 का 30% कितना है?,800 का 30% कितना है?,,240,250,230,1040,A,800×30/100=240।,pending_review,,2153d7b322f140b9
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3917,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,300 का 15% कितना है?,300 का 15% कितना है?,,45,55,35,345,A,300×15/100=45।,pending_review,,5400a9218ebbe97a
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3918,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,200 का 25% कितना है?,200 का 25% कितना है?,,50,60,40,250,A,200×25/100=50।,pending_review,,897e8d81f23d9c84
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3919,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,100 का 15% कितना है?,100 का 15% कितना है?,,15,25,5,115,A,100×15/100=15।,pending_review,,1871da947adbdf6e
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3921,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,500 का 30% कितना है?,500 का 30% कितना है?,,150,160,140,650,A,500×30/100=150।,pending_review,,2c662f05ee058709
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3924,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,100 का 20% कितना है?,100 का 20% कितना है?,,20,30,10,120,A,100×20/100=20।,pending_review,,64c3e9f8bb2df392
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3929,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,200 का 20% कितना है?,200 का 20% कितना है?,,40,50,30,240,A,200×20/100=40।,pending_review,,82e47ec58e00e8ca
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3930,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,1000 का 10% कितना है?,1000 का 10% कितना है?,,100,110,90,1100,A,1000×10/100=100।,pending_review,,e18325fee9ba292e
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3931,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,300 का 20% कितना है?,300 का 20% कितना है?,,60,70,50,360,A,300×20/100=60।,pending_review,,97fc2cc4561400d6
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3933,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,200 का 30% कितना है?,200 का 30% कितना है?,,60,70,50,260,A,200×30/100=60।,pending_review,,9f9a7ac4a6c22e9c
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3934,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,100 का 50% कितना है?,100 का 50% कितना है?,,50,60,40,150,A,100×50/100=50।,pending_review,,dd22f6d16b338d0b
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3935,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,200 का 40% कितना है?,200 का 40% कितना है?,,80,90,70,280,A,200×40/100=80।,pending_review,,e10c4557ff4cf551
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3936,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,100 का 30% कितना है?,100 का 30% कितना है?,,30,40,20,130,A,100×30/100=30।,pending_review,,0bdb5668005d9b2f
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3937,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,1000 का 50% कितना है?,1000 का 50% कितना है?,,500,510,490,1500,A,1000×50/100=500।,pending_review,,250e2154b4b4faad
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3939,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,500 का 20% कितना है?,500 का 20% कितना है?,,100,110,90,600,A,500×20/100=100।,pending_review,,579dbdc434b81daa
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3940,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,1000 का 30% कितना है?,1000 का 30% कितना है?,,300,310,290,1300,A,1000×30/100=300।,pending_review,,ef5a7f1ceb19c539
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3943,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,800 का 40% कितना है?,800 का 40% कितना है?,,320,330,310,1120,A,800×40/100=320।,pending_review,,d1b326c398709456
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3945,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,500 का 15% कितना है?,500 का 15% कितना है?,,75,85,65,575,A,500×15/100=75।,pending_review,,2e9ba00cebd2202f
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3950,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,400 का 20% कितना है?,400 का 20% कितना है?,,80,90,70,480,A,400×20/100=80।,pending_review,,2de8864c214cbb1a
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3951,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,400 का 10% कितना है?,400 का 10% कितना है?,,40,50,30,440,A,400×10/100=40।,pending_review,,10af61031239cdf1
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3954,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,1000 का 15% कितना है?,1000 का 15% कितना है?,,150,160,140,1150,A,1000×15/100=150।,pending_review,,f2bc181b5016c1b1
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3959,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,500 का 40% कितना है?,500 का 40% कितना है?,,200,210,190,700,A,500×40/100=200।,pending_review,,c1696da63e8b809a
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3964,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,300 का 40% कितना है?,300 का 40% कितना है?,,120,130,110,420,A,300×40/100=120।,pending_review,,5a8ebe76ea318ae5
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3967,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,1000 का 40% कितना है?,1000 का 40% कितना है?,,400,410,390,1400,A,1000×40/100=400।,pending_review,,c6a65a14a9264607
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3972,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,200 का 10% कितना है?,200 का 10% कितना है?,,20,30,10,220,A,200×10/100=20।,pending_review,,f6ec5e433a868f53
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3976,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,800 का 50% कितना है?,800 का 50% कितना है?,,400,410,390,1200,A,800×50/100=400।,pending_review,,07a8a4ac6a2ca7f5
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3978,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,800 का 20% कितना है?,800 का 20% कितना है?,,160,170,150,960,A,800×20/100=160।,pending_review,,d21c925133fc69af
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3983,IBPS RRB Prelims,Percentage,Percentage,,Moderate,Hindi,500 का 10% कितना है?,500 का 10% कितना है?,,50,60,40,550,A,500×10/100=50।,pending_review,,371c855fb600bfc6
