source_file,source_question_id,exam,subject,topic,subtopic,difficulty,language,question,question_hi,english_question,option_a,option_b,option_c,option_d,correct_answer,explanation,status,tags,import_key
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1,IBPS RRB Prelims,Inequality,Inequality,,Moderate,Hindi,"यदि T > R ≥ P > Q ≥ S, तो कौन-सा संबंध निश्चित रूप से सही है?","यदि T > R ≥ P > Q ≥ S, तो कौन-सा संबंध निश्चित रूप से सही है?",,T > Q,Q > T,S > T,R < S,A,"श्रृंखला के अनुसार T से Q तक क्रमशः बड़ा संबंध है, इसलिए पहला विकल्प निश्चित है।",pending_review,,b55949f91cf1544d
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,2,IBPS RRB Prelims,Inequality,Inequality,,Moderate,Hindi,"यदि P > Q ≥ T > S ≥ R, तो कौन-सा संबंध निश्चित रूप से सही है?","यदि P > Q ≥ T > S ≥ R, तो कौन-सा संबंध निश्चित रूप से सही है?",,P > S,S > P,R > P,Q < R,A,"श्रृंखला के अनुसार P से S तक क्रमशः बड़ा संबंध है, इसलिए पहला विकल्प निश्चित है।",pending_review,,b1601971d73e8031
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3,IBPS RRB Prelims,Inequality,Inequality,,Moderate,Hindi,"यदि Q > P ≥ R > S ≥ T, तो कौन-सा संबंध निश्चित रूप से सही है?","यदि Q > P ≥ R > S ≥ T, तो कौन-सा संबंध निश्चित रूप से सही है?",,Q > S,S > Q,T > Q,P < T,A,"श्रृंखला के अनुसार Q से S तक क्रमशः बड़ा संबंध है, इसलिए पहला विकल्प निश्चित है।",pending_review,,c950a9f9725a7d10
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,4,IBPS RRB Prelims,Inequality,Inequality,,Moderate,Hindi,"यदि P > Q ≥ R > T ≥ S, तो कौन-सा संबंध निश्चित रूप से सही है?","यदि P > Q ≥ R > T ≥ S, तो कौन-सा संबंध निश्चित रूप से सही है?",,P > T,T > P,S > P,Q < S,A,"श्रृंखला के अनुसार P से T तक क्रमशः बड़ा संबंध है, इसलिए पहला विकल्प निश्चित है।",pending_review,,d0d3f439e0c91576
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,5,IBPS RRB Prelims,Inequality,Inequality,,Moderate,Hindi,"यदि R > P ≥ S > Q ≥ T, तो कौन-सा संबंध निश्चित रूप से सही है?","यदि R > P ≥ S > Q ≥ T, तो कौन-सा संबंध निश्चित रूप से सही है?",,R > Q,Q > R,T > R,P < T,A,"श्रृंखला के अनुसार R से Q तक क्रमशः बड़ा संबंध है, इसलिए पहला विकल्प निश्चित है।",pending_review,,52d48890a0024643
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,6,IBPS RRB Prelims,Inequality,Inequality,,Moderate,Hindi,"यदि R > P ≥ Q > S ≥ T, तो कौन-सा संबंध निश्चित रूप से सही है?","यदि R > P ≥ Q > S ≥ T, तो कौन-सा संबंध निश्चित रूप से सही है?",,R > S,S > R,T > R,P < T,A,"श्रृंखला के अनुसार R से S तक क्रमशः बड़ा संबंध है, इसलिए पहला विकल्प निश्चित है।",pending_review,,abf0b06257ea5d90
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,7,IBPS RRB Prelims,Inequality,Inequality,,Moderate,Hindi,"यदि P > S ≥ T > R ≥ Q, तो कौन-सा संबंध निश्चित रूप से सही है?","यदि P > S ≥ T > R ≥ Q, तो कौन-सा संबंध निश्चित रूप से सही है?",,P > R,R > P,Q > P,S < Q,A,"श्रृंखला के अनुसार P से R तक क्रमशः बड़ा संबंध है, इसलिए पहला विकल्प निश्चित है।",pending_review,,eb0ff891109ccca8
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,8,IBPS RRB Prelims,Inequality,Inequality,,Moderate,Hindi,"यदि T > Q ≥ R > P ≥ S, तो कौन-सा संबंध निश्चित रूप से सही है?","यदि T > Q ≥ R > P ≥ S, तो कौन-सा संबंध निश्चित रूप से सही है?",,T > P,P > T,S > T,Q < S,A,"श्रृंखला के अनुसार T से P तक क्रमशः बड़ा संबंध है, इसलिए पहला विकल्प निश्चित है।",pending_review,,5f4ef41b43613882
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,9,IBPS RRB Prelims,Inequality,Inequality,,Moderate,Hindi,"यदि S > Q ≥ R > P ≥ T, तो कौन-सा संबंध निश्चित रूप से सही है?","यदि S > Q ≥ R > P ≥ T, तो कौन-सा संबंध निश्चित रूप से सही है?",,S > P,P > S,T > S,Q < T,A,"श्रृंखला के अनुसार S से P तक क्रमशः बड़ा संबंध है, इसलिए पहला विकल्प निश्चित है।",pending_review,,01876d731095acb0
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,10,IBPS RRB Prelims,Inequality,Inequality,,Moderate,Hindi,"यदि Q > S ≥ R > T ≥ P, तो कौन-सा संबंध निश्चित रूप से सही है?","यदि Q > S ≥ R > T ≥ P, तो कौन-सा संबंध निश्चित रूप से सही है?",,Q > T,T > Q,P > Q,S < P,A,"श्रृंखला के अनुसार Q से T तक क्रमशः बड़ा संबंध है, इसलिए पहला विकल्प निश्चित है।",pending_review,,967716f9f5d4eccd
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,11,IBPS RRB Prelims,Inequality,Inequality,,Moderate,Hindi,"यदि T > S ≥ P > R ≥ Q, तो कौन-सा संबंध निश्चित रूप से सही है?","यदि T > S ≥ P > R ≥ Q, तो कौन-सा संबंध निश्चित रूप से सही है?",,T > R,R > T,Q > T,S < Q,A,"श्रृंखला के अनुसार T से R तक क्रमशः बड़ा संबंध है, इसलिए पहला विकल्प निश्चित है।",pending_review,,ed5d019378dfe570
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,12,IBPS RRB Prelims,Inequality,Inequality,,Moderate,Hindi,"यदि R > Q ≥ T > S ≥ P, तो कौन-सा संबंध निश्चित रूप से सही है?","यदि R > Q ≥ T > S ≥ P, तो कौन-सा संबंध निश्चित रूप से सही है?",,R > S,S > R,P > R,Q < P,A,"श्रृंखला के अनुसार R से S तक क्रमशः बड़ा संबंध है, इसलिए पहला विकल्प निश्चित है।",pending_review,,2f15040087e40975
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,13,IBPS RRB Prelims,Inequality,Inequality,,Moderate,Hindi,"यदि Q > S ≥ T > R ≥ P, तो कौन-सा संबंध निश्चित रूप से सही है?","यदि Q > S ≥ T > R ≥ P, तो कौन-सा संबंध निश्चित रूप से सही है?",,Q > R,R > Q,P > Q,S < P,A,"श्रृंखला के अनुसार Q से R तक क्रमशः बड़ा संबंध है, इसलिए पहला विकल्प निश्चित है।",pending_review,,9ef6f89f8b58afd0
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,14,IBPS RRB Prelims,Inequality,Inequality,,Moderate,Hindi,"यदि S > P ≥ T > R ≥ Q, तो कौन-सा संबंध निश्चित रूप से सही है?","यदि S > P ≥ T > R ≥ Q, तो कौन-सा संबंध निश्चित रूप से सही है?",,S > R,R > S,Q > S,P < Q,A,"श्रृंखला के अनुसार S से R तक क्रमशः बड़ा संबंध है, इसलिए पहला विकल्प निश्चित है।",pending_review,,052f34050e0570f7
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,15,IBPS RRB Prelims,Inequality,Inequality,,Moderate,Hindi,"यदि S > P ≥ R > Q ≥ T, तो कौन-सा संबंध निश्चित रूप से सही है?","यदि S > P ≥ R > Q ≥ T, तो कौन-सा संबंध निश्चित रूप से सही है?",,S > Q,Q > S,T > S,P < T,A,"श्रृंखला के अनुसार S से Q तक क्रमशः बड़ा संबंध है, इसलिए पहला विकल्प निश्चित है।",pending_review,,a2ffbce8b49a2b06
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,16,IBPS RRB Prelims,Inequality,Inequality,,Moderate,Hindi,"यदि T > R ≥ S > Q ≥ P, तो कौन-सा संबंध निश्चित रूप से सही है?","यदि T > R ≥ S > Q ≥ P, तो कौन-सा संबंध निश्चित रूप से सही है?",,T > Q,Q > T,P > T,R < P,A,"श्रृंखला के अनुसार T से Q तक क्रमशः बड़ा संबंध है, इसलिए पहला विकल्प निश्चित है।",pending_review,,584c17d260237d24
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,17,IBPS RRB Prelims,Inequality,Inequality,,Moderate,Hindi,"यदि R > S ≥ P > T ≥ Q, तो कौन-सा संबंध निश्चित रूप से सही है?","यदि R > S ≥ P > T ≥ Q, तो कौन-सा संबंध निश्चित रूप से सही है?",,R > T,T > R,Q > R,S < Q,A,"श्रृंखला के अनुसार R से T तक क्रमशः बड़ा संबंध है, इसलिए पहला विकल्प निश्चित है।",pending_review,,e99552ae4ca83e47
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,18,IBPS RRB Prelims,Inequality,Inequality,,Moderate,Hindi,"यदि Q > P ≥ S > R ≥ T, तो कौन-सा संबंध निश्चित रूप से सही है?","यदि Q > P ≥ S > R ≥ T, तो कौन-सा संबंध निश्चित रूप से सही है?",,Q > R,R > Q,T > Q,P < T,A,"श्रृंखला के अनुसार Q से R तक क्रमशः बड़ा संबंध है, इसलिए पहला विकल्प निश्चित है।",pending_review,,cf0acea8f2de5969
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,19,IBPS RRB Prelims,Inequality,Inequality,,Moderate,Hindi,"यदि P > T ≥ Q > S ≥ R, तो कौन-सा संबंध निश्चित रूप से सही है?","यदि P > T ≥ Q > S ≥ R, तो कौन-सा संबंध निश्चित रूप से सही है?",,P > S,S > P,R > P,T < R,A,"श्रृंखला के अनुसार P से S तक क्रमशः बड़ा संबंध है, इसलिए पहला विकल्प निश्चित है।",pending_review,,498bb8f8d97d049b
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,20,IBPS RRB Prelims,Inequality,Inequality,,Moderate,Hindi,"यदि T > R ≥ Q > P ≥ S, तो कौन-सा संबंध निश्चित रूप से सही है?","यदि T > R ≥ Q > P ≥ S, तो कौन-सा संबंध निश्चित रूप से सही है?",,T > P,P > T,S > T,R < S,A,"श्रृंखला के अनुसार T से P तक क्रमशः बड़ा संबंध है, इसलिए पहला विकल्प निश्चित है।",pending_review,,06f33e51b351b964
