source_file,source_question_id,exam,subject,topic,subtopic,difficulty,language,question,question_hi,english_question,option_a,option_b,option_c,option_d,correct_answer,explanation,status,tags,import_key
IBPS_RRB_2000_Mains_Level_MCQs_Hindi(1).txt,1,IBPS RRB Mains,MAINS HARD,Banking & Financial Awareness,,Hard,Hindi,Repo Rate बढ़ने का सामान्य प्रभाव क्या होता है?,Repo Rate बढ़ने का सामान्य प्रभाव क्या होता है?,,बैंकों के लिए RBI से उधार महँगा होता है,बैंकों के लिए RBI से उधार सस्ता होता है,CRR स्वतः शून्य हो जाता है,मुद्रा आपूर्ति निश्चित रूप से दोगुनी होती है,A,Repo rate बढ़ने पर RBI से अल्पकालिक उधारी की लागत बढ़ती है। इससे ऋण दरों पर ऊपर की ओर दबाव पड़ सकता है।,pending_review,,556efb40de01f9b3
IBPS_RRB_2000_Mains_Level_MCQs_Hindi(1).txt,2,IBPS RRB Mains,MAINS HARD,Banking & Financial Awareness,,Hard,Hindi,Basel norms का प्रमुख उद्देश्य क्या है?,Basel norms का प्रमुख उद्देश्य क्या है?,,बैंकों की पूंजी पर्याप्तता और जोखिम प्रबंधन मजबूत करना,कृषि उत्पादन तय करना,GST दर निर्धारित करना,जनगणना कराना,A,"Basel framework बैंकिंग क्षेत्र में capital adequacy, risk management और supervisory standards से संबंधित है।",pending_review,,ffe0371aa7b76fe3
IBPS_RRB_2000_Mains_Level_MCQs_Hindi(1).txt,3,IBPS RRB Mains,MAINS HARD,Banking & Financial Awareness,,Hard,Hindi,NPA किससे संबंधित है?,NPA किससे संबंधित है?,,ऋण खाते में भुगतान/आय की समस्या से,शेयर बाजार सूचकांक से,विदेशी मुद्रा भंडार से,केवल नकद आरक्षित से,A,NPA ऐसे ऋण/अग्रिम खाते से संबंधित है जिसमें निर्धारित मानदंड के अनुसार भुगतान या आय की समस्या उत्पन्न हो जाती है।,pending_review,,028643afaabc2b12
IBPS_RRB_2000_Mains_Level_MCQs_Hindi(1).txt,4,IBPS RRB Mains,MAINS HARD,Reasoning,,Hard,Hindi,कथन: कुछ बैंक ग्रामीण हैं। सभी ग्रामीण संस्थाएँ विकास-केंद्रित हैं। निष्कर्ष: I. कुछ बैंक विकास-केंद्रित हैं। II. सभी विकास-केंद्रित संस्थाएँ ग्रामीण हैं।,कथन: कुछ बैंक ग्रामीण हैं। सभी ग्रामीण संस्थाएँ विकास-केंद्रित हैं। निष्कर्ष: I. कुछ बैंक विकास-केंद्रित हैं। II. सभी विकास-केंद्रित संस्थाएँ ग्रामीण हैं।,,केवल I,केवल II,I और II दोनों,न तो I न II,A,"कुछ बैंक ग्रामीण हैं और सभी ग्रामीण संस्थाएँ विकास-केंद्रित हैं, इसलिए कुछ बैंक विकास-केंद्रित होंगे। II निश्चित नहीं है।",pending_review,,8adb889e7817acb2
IBPS_RRB_2000_Mains_Level_MCQs_Hindi(1).txt,5,IBPS RRB Mains,MAINS HARD,Reasoning,,Hard,Hindi,"यदि P ≥ Q > R = S < T, तो कौन-सा निष्कर्ष निश्चित है?","यदि P ≥ Q > R = S < T, तो कौन-सा निष्कर्ष निश्चित है?",,Q > S,P < T,T < R,P = S,A,Q > R और R = S होने से Q > S निश्चित है।,pending_review,,04d1b6b7e96ca62d
IBPS_RRB_2000_Mains_Level_MCQs_Hindi(1).txt,6,IBPS RRB Mains,MAINS HARD,Quantitative Aptitude,,Hard,Hindi,एक ट्रेन 72 km/h की गति से चलती है और 450 m के प्लेटफॉर्म को 35 सेकंड में पार करती है। ट्रेन की लंबाई कितनी है?,एक ट्रेन 72 km/h की गति से चलती है और 450 m के प्लेटफॉर्म को 35 सेकंड में पार करती है। ट्रेन की लंबाई कितनी है?,,200 m,250 m,300 m,350 m,B,72 km/h = 20 m/s. 35 सेकंड में दूरी 700 m; ट्रेन की लंबाई = 700 − 450 = 250 m।,pending_review,,db8c1664119dd538
IBPS_RRB_2000_Mains_Level_MCQs_Hindi(1).txt,7,IBPS RRB Mains,MAINS HARD,Quantitative Aptitude,,Hard,Hindi,"₹10,000 पर 10% वार्षिक चक्रवृद्धि ब्याज से 2 वर्षों का ब्याज कितना होगा?","₹10,000 पर 10% वार्षिक चक्रवृद्धि ब्याज से 2 वर्षों का ब्याज कितना होगा?",,"₹2,000","₹2,100","₹2,200","₹2,400",B,"राशि = 10,000×1.1² = 12,100; ब्याज = ₹2,100।",pending_review,,ace51c3b829fa54d
IBPS_RRB_2000_Mains_Level_MCQs_Hindi(1).txt,8,IBPS RRB Mains,MAINS HARD,Computer Knowledge,,Hard,Hindi,OSI मॉडल में Routing मुख्यतः किस Layer से संबंधित है?,OSI मॉडल में Routing मुख्यतः किस Layer से संबंधित है?,,Physical,Data Link,Network,Application,C,Network Layer logical addressing और routing से संबंधित है।,pending_review,,174af4fd630ee45f
IBPS_RRB_2000_Mains_Level_MCQs_Hindi(1).txt,9,IBPS RRB Mains,MAINS HARD,Computer Knowledge,,Hard,Hindi,Phishing का मुख्य उद्देश्य सामान्यतः क्या होता है?,Phishing का मुख्य उद्देश्य सामान्यतः क्या होता है?,,सिस्टम की स्क्रीन चमक बढ़ाना,धोखे से संवेदनशील जानकारी प्राप्त करना,RAM बढ़ाना,प्रिंटर की गति बढ़ाना,B,"Phishing में नकली संदेश या वेबसाइट के जरिए पासवर्ड, OTP आदि प्राप्त करने का प्रयास किया जाता है।",pending_review,,2adb0a0c838947da
IBPS_RRB_2000_Mains_Level_MCQs_Hindi(1).txt,10,IBPS RRB Mains,MAINS HARD,General Awareness & Static GK,,Hard,Hindi,वित्त आयोग का संवैधानिक आधार किस अनुच्छेद में है?,वित्त आयोग का संवैधानिक आधार किस अनुच्छेद में है?,,अनुच्छेद 280,अनुच्छेद 324,अनुच्छेद 356,अनुच्छेद 368,A,अनुच्छेद 280 के तहत Finance Commission का प्रावधान है।,pending_review,,ac4cd2e8e4d98fae
IBPS_RRB_2000_Mains_Level_MCQs_Hindi(1).txt,11,IBPS RRB Mains,MAINS HARD,General Awareness & Static GK,,Hard,Hindi,पंचायती राज संस्थाओं को संवैधानिक दर्जा किस संशोधन से मिला?,पंचायती राज संस्थाओं को संवैधानिक दर्जा किस संशोधन से मिला?,,42वाँ,44वाँ,73वाँ,86वाँ,C,"73वें संविधान संशोधन अधिनियम, 1992 ने पंचायती राज संस्थाओं को संवैधानिक आधार दिया।",pending_review,,4c37c4e1704b5e36
IBPS_RRB_2000_Mains_Level_MCQs_Hindi(1).txt,12,IBPS RRB Mains,MAINS HARD,Banking & Financial Awareness,,Hard,Hindi,KYC का मुख्य उद्देश्य क्या है?,KYC का मुख्य उद्देश्य क्या है?,,ग्राहक की पहचान सत्यापित करना,ब्याज दर तय करना,ATM बंद करना,चेकबुक छापना,A,"KYC यानी Know Your Customer, ग्राहक की पहचान और संबंधित जानकारी की पुष्टि की प्रक्रिया है।",pending_review,,8449552fd8897ea0
IBPS_RRB_2000_Mains_Level_MCQs_Hindi(1).txt,13,IBPS RRB Mains,MAINS HARD,Computer Knowledge,,Hard,Hindi,IPv4 address की लंबाई कितनी होती है?,IPv4 address की लंबाई कितनी होती है?,,16 bit,32 bit,64 bit,128 bit,B,IPv4 में 32-bit addressing होती है; IPv6 में 128-bit।,pending_review,,1aafa885ce12d45f
IBPS_RRB_2000_Mains_Level_MCQs_Hindi(1).txt,14,IBPS RRB Mains,MAINS HARD,Quantitative Aptitude,,Hard,Hindi,किसी संख्या का 25% = 180 है। संख्या क्या होगी?,किसी संख्या का 25% = 180 है। संख्या क्या होगी?,,620,680,720,760,C,संख्या = 180×100/25 = 720।,pending_review,,c572bdcd1bdf7bf7
IBPS_RRB_2000_Mains_Level_MCQs_Hindi(1).txt,15,IBPS RRB Mains,MAINS HARD,Reasoning,,Hard,Hindi,"श्रृंखला: 3, 8, 15, 24, 35, ?","श्रृंखला: 3, 8, 15, 24, 35, ?",,46,48,50,52,B,"अंतर 5, 7, 9, 11 है; अगला अंतर 13, इसलिए 35+13=48।",pending_review,,a69a3346cc942f45
IBPS_RRB_2000_Mains_Level_MCQs_Hindi(1).txt,17,IBPS RRB Mains,MAINS HARD,Quantitative Aptitude,,Hard,Hindi,किसी संख्या का 12% = 96 है। वह संख्या क्या होगी?,किसी संख्या का 12% = 96 है। वह संख्या क्या होगी?,,780,800,820,840,B,संख्या = 96×100/12 = 800।,pending_review,,86ac1ddd4557e0c2
IBPS_RRB_2000_Mains_Level_MCQs_Hindi(1).txt,18,IBPS RRB Mains,MAINS HARD,Quantitative Aptitude / DI,,Hard,Hindi,A की आय ₹26000 और B की आय ₹20000 है। A 25% तथा B 20% बचाता है। बचत का अंतर कितना है?,A की आय ₹26000 और B की आय ₹20000 है। A 25% तथा B 20% बचाता है। बचत का अंतर कितना है?,,2300,2500,2700,2900,B,A की बचत ₹6500; B की बचत ₹4000; अंतर = ₹2500।,pending_review,,bf5098f474e04b57
IBPS_RRB_2000_Mains_Level_MCQs_Hindi(1).txt,19,IBPS RRB Mains,MAINS HARD,Reasoning,,Hard,Hindi,"श्रृंखला: 7, 11, 17, 25, 35, ?","श्रृंखला: 7, 11, 17, 25, 35, ?",,43,47,51,55,B,"अंतर 4, 6, 8, 10 है; अगला अंतर 12 होगा।",pending_review,,2ecd44f336074304
IBPS_RRB_2000_Mains_Level_MCQs_Hindi(1).txt,20,IBPS RRB Mains,MAINS HARD,Reasoning,,Hard,Hindi,"कथन: सभी A, B हैं। कुछ B, C हैं। निष्कर्ष: I. कुछ A, C हैं। II. सभी A, C हैं।","कथन: सभी A, B हैं। कुछ B, C हैं। निष्कर्ष: I. कुछ A, C हैं। II. सभी A, C हैं।",,केवल I,केवल II,दोनों,कोई नहीं,D,"कुछ B का C होना, A के C होने को सिद्ध नहीं करता; इसलिए कोई निष्कर्ष निश्चित नहीं।",pending_review,,19a2d195cd6e8370
IBPS_RRB_2000_Mains_Level_MCQs_Hindi(1).txt,21,IBPS RRB Mains,MAINS HARD,Banking & Financial Awareness,,Hard,Hindi,CRR में बैंक की जमा राशि का निर्धारित हिस्सा किस रूप में RBI के पास रखा जाता है?,CRR में बैंक की जमा राशि का निर्धारित हिस्सा किस रूप में RBI के पास रखा जाता है?,,नकद आरक्षित,केवल सोना,केवल सरकारी शेयर,विदेशी मुद्रा,A,CRR यानी Cash Reserve Ratio के तहत निर्धारित नकद आरक्षित RBI के पास रखा जाता है।,pending_review,,9be45527f6c35be7
IBPS_RRB_2000_Mains_Level_MCQs_Hindi(1).txt,22,IBPS RRB Mains,MAINS HARD,Banking & Financial Awareness,,Hard,Hindi,MCLR का संबंध मुख्यतः किससे है?,MCLR का संबंध मुख्यतः किससे है?,,बैंक की lending rate benchmark व्यवस्था,IPO allotment,GST collection,जनगणना,A,"MCLR यानी Marginal Cost of Funds based Lending Rate, बैंक की lending rate निर्धारण से जुड़ा benchmark है।",pending_review,,7fc5b7c63fa02eb3
IBPS_RRB_2000_Mains_Level_MCQs_Hindi(1).txt,23,IBPS RRB Mains,MAINS HARD,Computer Knowledge,,Hard,Hindi,Database में Primary Key का मुख्य गुण क्या है?,Database में Primary Key का मुख्य गुण क्या है?,,Record को uniquely identify करना,सभी records delete करना,केवल password रखना,Network routing करना,A,Primary Key प्रत्येक record/row की unique पहचान करती है।,pending_review,,86c22540d9b04acc
IBPS_RRB_2000_Mains_Level_MCQs_Hindi(1).txt,24,IBPS RRB Mains,MAINS HARD,General Awareness & Current Affairs Practice,,Hard,Hindi,RRB Mains के current affairs section में किस जानकारी को परीक्षा से पहले verify करना सबसे जरूरी है?,RRB Mains के current affairs section में किस जानकारी को परीक्षा से पहले verify करना सबसे जरूरी है?,,हालिया RBI monetary policy और banking updates,पुराने गणितीय सूत्र,वर्णमाला क्रम,कंप्यूटर का binary आधार,A,"Current affairs समय के साथ बदलते हैं, इसलिए RBI और अन्य आधिकारिक स्रोतों से हालिया updates verify करना जरूरी है।",pending_review,,a49bd96d1ff723c9
