source_file,source_question_id,exam,subject,topic,subtopic,difficulty,language,question,question_hi,english_question,option_a,option_b,option_c,option_d,correct_answer,explanation,status,tags,import_key
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1851,IBPS RRB Prelims,Seating,Seating,,Moderate,Hindi,"छह व्यक्ति क्रमशः बाएँ से दाएँ C, B, F, A, E, D बैठे हैं। D का बाएँ से स्थान?","छह व्यक्ति क्रमशः बाएँ से दाएँ C, B, F, A, E, D बैठे हैं। D का बाएँ से स्थान?",,6,1,7,5,A,दिए गए क्रम में D बाएँ से 6वें स्थान पर है।,pending_review,,7adf5ae19dccbf07
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1852,IBPS RRB Prelims,Seating,Seating,,Moderate,Hindi,"छह व्यक्ति क्रमशः बाएँ से दाएँ B, A, E, C, D, F बैठे हैं। E का बाएँ से स्थान?","छह व्यक्ति क्रमशः बाएँ से दाएँ B, A, E, C, D, F बैठे हैं। E का बाएँ से स्थान?",,3,4,4,2,A,दिए गए क्रम में E बाएँ से 3वें स्थान पर है।,pending_review,,b72e06375a567189
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1853,IBPS RRB Prelims,Seating,Seating,,Moderate,Hindi,"छह व्यक्ति क्रमशः बाएँ से दाएँ B, C, D, A, E, F बैठे हैं। B का बाएँ से स्थान?","छह व्यक्ति क्रमशः बाएँ से दाएँ B, C, D, A, E, F बैठे हैं। B का बाएँ से स्थान?",,1,6,2,1,A,दिए गए क्रम में B बाएँ से 1वें स्थान पर है।,pending_review,,19f9734727c86b77
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1854,IBPS RRB Prelims,Seating,Seating,,Moderate,Hindi,"छह व्यक्ति क्रमशः बाएँ से दाएँ E, C, A, F, D, B बैठे हैं। F का बाएँ से स्थान?","छह व्यक्ति क्रमशः बाएँ से दाएँ E, C, A, F, D, B बैठे हैं। F का बाएँ से स्थान?",,4,3,5,3,A,दिए गए क्रम में F बाएँ से 4वें स्थान पर है।,pending_review,,366ca5aacca59420
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1855,IBPS RRB Prelims,Seating,Seating,,Moderate,Hindi,"छह व्यक्ति क्रमशः बाएँ से दाएँ F, C, D, E, B, A बैठे हैं। C का बाएँ से स्थान?","छह व्यक्ति क्रमशः बाएँ से दाएँ F, C, D, E, B, A बैठे हैं। C का बाएँ से स्थान?",,2,5,3,1,A,दिए गए क्रम में C बाएँ से 2वें स्थान पर है।,pending_review,,a72f6fcbda07b7ba
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1856,IBPS RRB Prelims,Seating,Seating,,Moderate,Hindi,"छह व्यक्ति क्रमशः बाएँ से दाएँ E, C, D, A, F, B बैठे हैं। F का बाएँ से स्थान?","छह व्यक्ति क्रमशः बाएँ से दाएँ E, C, D, A, F, B बैठे हैं। F का बाएँ से स्थान?",,5,2,6,4,A,दिए गए क्रम में F बाएँ से 5वें स्थान पर है।,pending_review,,24a4a98aa250a1a1
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1857,IBPS RRB Prelims,Seating,Seating,,Moderate,Hindi,"छह व्यक्ति क्रमशः बाएँ से दाएँ B, E, F, A, D, C बैठे हैं। F का बाएँ से स्थान?","छह व्यक्ति क्रमशः बाएँ से दाएँ B, E, F, A, D, C बैठे हैं। F का बाएँ से स्थान?",,3,4,4,2,A,दिए गए क्रम में F बाएँ से 3वें स्थान पर है।,pending_review,,dc9d8abd6ccbec30
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1858,IBPS RRB Prelims,Seating,Seating,,Moderate,Hindi,"छह व्यक्ति क्रमशः बाएँ से दाएँ C, F, E, D, A, B बैठे हैं। A का बाएँ से स्थान?","छह व्यक्ति क्रमशः बाएँ से दाएँ C, F, E, D, A, B बैठे हैं। A का बाएँ से स्थान?",,5,2,6,4,A,दिए गए क्रम में A बाएँ से 5वें स्थान पर है।,pending_review,,3345aca11aa488fa
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1859,IBPS RRB Prelims,Seating,Seating,,Moderate,Hindi,"छह व्यक्ति क्रमशः बाएँ से दाएँ D, B, C, A, E, F बैठे हैं। A का बाएँ से स्थान?","छह व्यक्ति क्रमशः बाएँ से दाएँ D, B, C, A, E, F बैठे हैं। A का बाएँ से स्थान?",,4,3,5,3,A,दिए गए क्रम में A बाएँ से 4वें स्थान पर है।,pending_review,,4da7521c7487d06b
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,1860,IBPS RRB Prelims,Seating,Seating,,Moderate,Hindi,"छह व्यक्ति क्रमशः बाएँ से दाएँ D, A, F, C, B, E बैठे हैं। D का बाएँ से स्थान?","छह व्यक्ति क्रमशः बाएँ से दाएँ D, A, F, C, B, E बैठे हैं। D का बाएँ से स्थान?",,1,6,2,1,A,दिए गए क्रम में D बाएँ से 1वें स्थान पर है।,pending_review,,04cf82b3182cf9cd
