source_file,source_question_id,exam,subject,topic,subtopic,difficulty,language,question,question_hi,english_question,option_a,option_b,option_c,option_d,correct_answer,explanation,status,tags,import_key
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3751,IBPS RRB Prelims,Time & Work,Time & Work,,Moderate,Hindi,12 व्यक्ति किसी काम को 6 दिनों में पूरा करते हैं। कुल कार्य-दिवस कितने हैं?,12 व्यक्ति किसी काम को 6 दिनों में पूरा करते हैं। कुल कार्य-दिवस कितने हैं?,,72,18,66,24,A,कुल कार्य-दिवस=व्यक्ति×दिन=12×6=72।,pending_review,,f54257d8c9a35641
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3752,IBPS RRB Prelims,Time & Work,Time & Work,,Moderate,Hindi,8 व्यक्ति किसी काम को 5 दिनों में पूरा करते हैं। कुल कार्य-दिवस कितने हैं?,8 व्यक्ति किसी काम को 5 दिनों में पूरा करते हैं। कुल कार्य-दिवस कितने हैं?,,40,13,35,16,A,कुल कार्य-दिवस=व्यक्ति×दिन=8×5=40।,pending_review,,5e0a218cde41236f
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3753,IBPS RRB Prelims,Time & Work,Time & Work,,Moderate,Hindi,8 व्यक्ति किसी काम को 3 दिनों में पूरा करते हैं। कुल कार्य-दिवस कितने हैं?,8 व्यक्ति किसी काम को 3 दिनों में पूरा करते हैं। कुल कार्य-दिवस कितने हैं?,,24,11,21,16,A,कुल कार्य-दिवस=व्यक्ति×दिन=8×3=24।,pending_review,,891ad44023884c90
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3754,IBPS RRB Prelims,Time & Work,Time & Work,,Moderate,Hindi,12 व्यक्ति किसी काम को 4 दिनों में पूरा करते हैं। कुल कार्य-दिवस कितने हैं?,12 व्यक्ति किसी काम को 4 दिनों में पूरा करते हैं। कुल कार्य-दिवस कितने हैं?,,48,16,44,24,A,कुल कार्य-दिवस=व्यक्ति×दिन=12×4=48।,pending_review,,77e341f4de61781d
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3755,IBPS RRB Prelims,Time & Work,Time & Work,,Moderate,Hindi,6 व्यक्ति किसी काम को 5 दिनों में पूरा करते हैं। कुल कार्य-दिवस कितने हैं?,6 व्यक्ति किसी काम को 5 दिनों में पूरा करते हैं। कुल कार्य-दिवस कितने हैं?,,30,11,25,12,A,कुल कार्य-दिवस=व्यक्ति×दिन=6×5=30।,pending_review,,f10d587ae614ff6b
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3756,IBPS RRB Prelims,Time & Work,Time & Work,,Moderate,Hindi,10 व्यक्ति किसी काम को 5 दिनों में पूरा करते हैं। कुल कार्य-दिवस कितने हैं?,10 व्यक्ति किसी काम को 5 दिनों में पूरा करते हैं। कुल कार्य-दिवस कितने हैं?,,50,15,45,20,A,कुल कार्य-दिवस=व्यक्ति×दिन=10×5=50।,pending_review,,8aa470116b39f971
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3758,IBPS RRB Prelims,Time & Work,Time & Work,,Moderate,Hindi,15 व्यक्ति किसी काम को 5 दिनों में पूरा करते हैं। कुल कार्य-दिवस कितने हैं?,15 व्यक्ति किसी काम को 5 दिनों में पूरा करते हैं। कुल कार्य-दिवस कितने हैं?,,75,20,70,30,A,कुल कार्य-दिवस=व्यक्ति×दिन=15×5=75।,pending_review,,c118fa2aa837a44d
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3759,IBPS RRB Prelims,Time & Work,Time & Work,,Moderate,Hindi,10 व्यक्ति किसी काम को 6 दिनों में पूरा करते हैं। कुल कार्य-दिवस कितने हैं?,10 व्यक्ति किसी काम को 6 दिनों में पूरा करते हैं। कुल कार्य-दिवस कितने हैं?,,60,16,54,20,A,कुल कार्य-दिवस=व्यक्ति×दिन=10×6=60।,pending_review,,0ec73caddd4ca844
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3760,IBPS RRB Prelims,Time & Work,Time & Work,,Moderate,Hindi,20 व्यक्ति किसी काम को 3 दिनों में पूरा करते हैं। कुल कार्य-दिवस कितने हैं?,20 व्यक्ति किसी काम को 3 दिनों में पूरा करते हैं। कुल कार्य-दिवस कितने हैं?,,60,23,57,40,A,कुल कार्य-दिवस=व्यक्ति×दिन=20×3=60।,pending_review,,699cd37842124b46
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3763,IBPS RRB Prelims,Time & Work,Time & Work,,Moderate,Hindi,8 व्यक्ति किसी काम को 6 दिनों में पूरा करते हैं। कुल कार्य-दिवस कितने हैं?,8 व्यक्ति किसी काम को 6 दिनों में पूरा करते हैं। कुल कार्य-दिवस कितने हैं?,,48,14,42,16,A,कुल कार्य-दिवस=व्यक्ति×दिन=8×6=48।,pending_review,,c611acf266ab7c0e
